icao;manufacturer;name;short-name;type;wtc;mtow;wingspan;recat-eu;final-speed;initial-roc
SU17;Sukhoi;Su-17/20/22;SU-17;Landplane;M;19.5;13.7;Lower Medium;140;45000
SU24;Sukhoi;Su-24;SU-24;Landplane;M;43.755;17.6;Lower Medium;160;18000
SU25;Sukhoi;Su-25;SU-25;Landplane;M;20.5;14.5;Lower Medium;170;1200
SU27;Sukhoi;J-11;J-11;Landplane;M;33.5;14.7;Lower Medium;140;64000
SU95;Sukhoi;Superjet 100;Superjet 100;Landplane;M;45.88;27.8;Lower Medium;130;2500
SW2;Fairchild-Swearingen;Merlin II;Merlin-2;Landplane;L;4.445;13.98;Light;115;2400
SW3;Swearingen;SA-227TT, Merlin 3, Fairchild 300;Merlin-3;Landplane;L;5.7;14.1;Light;120;2000
SW4;Fairchild-Swearingen;Metro 23;Metro-23;Landplane;M;7.257;17.37;Light;115;1500
T134;Tupolev;Tu-134;Tu-134;Landplane;M;47.6;29;Lower Medium;150;2000
T154;Tupolev;Tu-154;Tu-154;Landplane;M;100;37.5;Upper Medium;130;3000
T204;Tupolev;Tu-204/214/224/234;Tu-204;Landplane;M;103;42;Upper Medium;140;3500
T22M;Tupolev;Tu-22M;Tu-22M;Landplane;M;126;34.3;Lower Heavy;185;6000
T37;Cessna;318A/B/C;Cessna 318;Landplane;L;2.98;11.7;Light;95;3300
T38;Northrop;AT-38, Talon;Talon;Landplane;L;5.67;7.7;Light;160;33000
TAMP;Socata;TB-9, Tampico, Sprint;TB-9;Landplane;L;1.06;9.9;Light;65;600
TB30;Aerospatiale;TB-30, Epsilon;Epsilon;Landplane;L;1.25;7.9;Light;80;1800
TBM7;Socata;TBM-700;TBM-700;Landplane;L;3;12.2;Light;80;2000
TBM8;Socata;TBM-800;TBM-800;Landplane;L;3.353;12.2;Light;95;2400
TOBA;Socata;TB-10/200, Tobago;Tobago;Landplane;L;1.15;9.9;Light;65;600
TOR;Panavia;Tornado;Tornado;Landplane;M;28;13.9;Lower Medium;145;15000
TRIN;Socata;Pashosh;Pashosh;Landplane;L;1.4;10;Light;70;1200
TUCA;Embraer;A-27;A-27;Landplane;L;3.175;11.1;Light;90;2600
UH1;Bell;UH-1 Iroquois;UH-1;Helicopter;L;4.309;14.63;Light;40;1755
VC10;Vickers;BAC VC-10;VC-10;Landplane;H;146.5;44.6;Lower Heavy;150;2300
YK40;Yakovlev;Yak-40;Yak-40;Landplane;M;16;25;Lower Medium;120;1300
YK42;Yakovlev;Yak-42/142;Yak-42;Landplane;M;63;34.9;Upper Medium;130;2500
