icao;manufacturer;name;short-name;type;wtc;mtow;wingspan;recat-eu;final-speed;initial-roc
CRJ9;Canadair;RJ-900 Reginal Jet;CRJ-900;Landplane;M;38.33;24.9;Lower Medium;135;2500
CRJX;Bombardier;CRJ 1000;CRJ-1000;Landplane;M;40.824;26.18;Lower Medium;130;3000
D228;Fairchild-Dornier;228;Dornier-228;Landplane;L;6.4;16.97;Light;85;1500
C28D;Dornier;Do28, Skyservant;Do-28;Landplane;L;5.984;13.8;Light;65;1400
D328;Fairchild-Dornier;328;Dornier-328;Landplane;M;13.99;20.98;Light;110;2000
DA40;Diamond;Diamond DA40;Diamond-40;Landplane;L;1.2;11.63;Light;80;700
DA42;Diamond;Diamond DA42, Twinstar;Diamond-42;Landplane;L;1.65;13.42;Light;75;1700
DA50;Diamond;Diamond DA50, SuperStar, Magnum;Diamond-50;Landplane;L;1.2;11.7;Light;85;2000
DA62;Diamond;Diamond DA62;Diamond-62;Landplane;L;2.3;14.55;-;-;-
DC10;McDonnell Douglas;DC-10;Douglas DC-10;Landplane;H;259.459;50.4;Lower Heavy;149;2000
DC85;Douglas;DC-8-50;Douglas DC-8;Landplane;H;147.4;43.4;Lower Heavy;137;1300
DC86;Douglas;DC-8-60;Douglas DC-8;Landplane;H;158.7;43.4;Lower Heavy;140;2000
DC87;Douglas;DC-8-70;Douglas DC-8;Landplane;H;162.025;45.2;Lower Heavy;145;1500
DC91;Douglas;DC-9-10, DC-9-15;Douglas DC-9;Landplane;M;41.1;27.28;Lower Medium;132;2800
DC92;Douglas;DC-9-20;Douglas DC-9;Landplane;M;44.5;28.44;Lower Medium;127;2500
DC93;Douglas;DC-9-30;Douglas DC-9;Landplane;M;49.94;27.3;Lower Medium;127;2000
DC94;Douglas;DC-9-40;Douglas DC-9;Landplane;M;54.885;27.28;Lower Medium;131;3000
DC95;Douglas;DC-9-50;Douglas DC-9;Landplane;M;54.934;28.5;Lower Medium;130;2000
DH8A;De Havilland Canada;CC-142;Dash-8;Landplane;M;15.65;25.9;Lower Medium;100;1800
DH8C;Bombardier;Dash 8 Q300;Dash-8;Landplane;M;18.642;27.4;Lower Medium;110;1800
DH8D;Bombardier;Dash 8 Q400;Dash-8;Landplane;M;28.998;28.4;Lower Medium;121;3500
DHC6;De Havilland Canada;CC-138;Twin Otter;Amphibian;L;5.67;19.8;Light;70;1000
DHC7;De Havilland Canada;Dash 7;Dash 7;Landplane;M;21.32;28.4;Lower Medium;90;1000
DR40;Robin;Cadet;Robin Cadet;Landplane;L;1.1;8.7;Light;65;800
E110;Embraer;Bandeirante;Embraer-110;Landplane;L;5.9;15.3;Light;100;1000
E120;Embraer;Brasilia;Embraer-120;Landplane;M;12;19.8;Light;126;1500
E121;Embraer;EC-9;Embraer EC-9;Landplane;L;5.67;14.5;Light;120;1500
E135;Embraer;ERJ-135;ERJ-135;Landplane;M;19.99;20.2;Lower Medium;130;3500
E145;Embraer;EMB-145;EMB-145;Landplane;M;21.198;20.2;Lower Medium;135;2500
E170;Embraer;Embraer 170;Embraer-170;Landplane;M;35.995;26;Lower Medium;130;3400
E190;Embraer;Embraer 190;Embraer-190;Landplane;M;45.995;28.7;Lower Medium;131;3400
E195;Embraer;Embraer 195;Embraer-195;Landplane;M;52.29;28.7;Lower Medium;135;3000
E2;Grumman;Daya;Grumman Daya;Landplane;M;23.85;24.6;Lower Medium;105;3000
E3CF;Boeing;E-3D Sentry;E-3D Sentry;Landplane;H;151.955;44.4;Lower Heavy;150;2200
E3TF;Boeing;E-3 Sentry;E-3 Sentry;Landplane;H;156;44.4;Lower Heavy;150;2000
A50P;Embraer;Embraer 500, Phenom 100;Embraer-500;Landplane;L;4.75;12.3;Light;120;3500
E55P;Embraer;Embraer 505, Phenom 300;Embraer-505;Landplane;M;7.951;16.2;Light;115;4000
EC35;Eurocopter;Eurocopter EC-135;Eurocopter-135;Helicopter;L;2.95;10.2;Light;5;1500
EC45;Eurocopter;Eurocopter EC-145;Eurocopter-145;Helicopter;L;3.6;10.8;-;-;1590
EH10;AgustaWestland;AW101 Merlin;AW-101;Helicopter;M;15.6;18.6;Light;50;1300
ETAR;DAssault;Etendard 4;Etendard 4;Landplane;M;10.2;9.6;Light;120;19700
EUFI;Eurofighter;Eurofighter Typhoon;Eurofighter;Landplane;M;23.5;10.95;Lower Medium;150;45000
F1;Mitsubishi;F-1;F-1;Landplane;M;13.674;7.88;Light;152;35000
F100;Fokker;Fokker 100;Fokker 100;Landplane;M;43.39;28.1;Lower Medium;130;2500
F104;Lockheed;Aeritalia F-104, Starfighter;Starfighter;Landplane;M;14.06;7;Light;180;48000
F117;Lockheed;F-117, Nighthawk;Nighthawk;Landplane;M;23.8;13.3;Lower Medium;180;10000
F14;Grumman;F-14, Tomcat;F-14;Landplane;M;33.795;19.5;Lower Medium;125;40000
F15;McDonnell Douglas;F-15, Strike Eagly;F-15;Landplane;M;36.74;13;Lower Medium;125;50000
F16;Lockheed;F-16, Fighting Falcon;F-16;Landplane;M;14.97;10;Light;150;55000
F18;Boeing;F-18, Hornet;F-18;Landplane;M;25.4;12.3;Lower Medium;125;30000
F2;Mitsubishi;F-2;F-2;Landplane;M;22.1;11.1;Lower Medium;155;40000
F26T;Earmacchi;SF-260TP;Layang;Landplane;L;1.3;8.4;Light;75;1500
F27;Fokker;F-27, Friendship;Friendship;Landplane;M;20.41;29;Lower Medium;120;1000
F28;Fokker;F-28, Fellowship;Fellowship;Landplane;M;33.11;27.07;Lower Medium;125;2000
F2TH;DAssault;Falcon 2000;Falcon 2000;Landplane;M;16.24;19.2;Lower Medium;110;3000
F35;Lockheed;F-35, Lightning II;F-35;Landplane;M;31.751;11;Lower Medium;150;40000
F4;McDonnell Douglas;F-4, Phantom 2;F-4;Landplane;M;28;11.7;Lower Medium;175;4000
F406;Reims;Caravan 2;Caravan 2;Landplane;L;4.2;15.1;Light;95;2000
F5;Northrop;A-9;F-5;Landplane;M;11.187;8.1;Light;170;34000
F50;Fokker;50, Maritime Enforcer;Fokker-50;Landplane;M;20.82;29;Lower Medium;120;1500
F70;Fokker;70;Fokker-70;Landplane;M;36.74;29.1;Lower Medium;129;3000
F900;DAssault;Falcon 900;Falcon-900;Landplane;M;21.2;19.3;Lower Medium;110;3000
FA10;DAssault;Falcon 10/100;Falcon-10;Landplane;M;8.5;13.08;Light;110;2300
FA20;DAssault;Falcon 20/200;Falcon-20;Landplane;M;13.16;16.3;Light;110;3000
FA50;DAssault;T-16;T-16;Landplane;M;18.5;18.86;Lower Medium;130;3000
FA7X;DAssault;Falcon 7X;Falcon-7X;Landplane;M;31.298;26.21;Lower Medium;104;3500
G115;Grob;Bavarian;Bavarian;Landplane;L;0.99;10;Light;60;1000
G150;Gulfstream;Gulfstream 150;Gulfstream-150;Landplane;M;11.839;16.94;Light;130;3300
G222;Alenia;Aeritalia G-222;G-222;Landplane;M;31.8;28.7;Lower Medium;120;1600
G280;Gulfstream;Gulfstream G280;Gulfstream-280;Landplane;M;17.962;19.2;-;134;5500
G3;Remos;Mirage G3;Mirage-G3;Landplane;L;0.472;9.8;Light;55;950
GALX;Israel Aerospace Industries;Gulfstream 200;Gulfstream-200;Landplane;M;15.808;17.7;Lower Medium;130;3500
GL5T;Bombardier;BD-700, Global 5000;Bombarier-700;Landplane;M;41.957;28.65;Lower Medium;122;3000
GLEX;Bombardier;Global Express;Global Express;Landplane;M;44.5;28.6;Lower Medium;125;4000
GLF3;Gulfstream;G-1159A, Gulfstream-3;Gulfstream-3;Landplane;M;31.62;23.7;Lower Medium;135;4000
GLF4;Gulfstream;Gulfstream-4;Gulfstream-4;Landplane;M;32.2;23.7;Lower Medium;140;4000
GLF5;Gulfstream;Gulfstream-5;Gulfstream-5;Landplane;M;41.136;28.5;Lower Medium;140;4000
H25A;Hawker Siddely;HS125;HS-125;Landplane;M;10.568;14.33;Light;125;3700
H25B;Hawker Beechcraft;Hawker 750/850/900;Hawker 750;Landplane;M;12.7;16.6;Light;125;2000
H25C;Raytheon;BAe-125-1000;Hawker 1000;Landplane;M;14.06;15.7;Light;132;3500
H47;Boeing;Chinook CH-47F;Chinook;Helicopter;M;22.668;18.29;Lower Medium;60;1500
H60;Sikorsky;Sikorsky S-70A;Black Hawk;Helicopter;M;10.66;16.36;Light;50;1300
H64;Boeing;AH-64 Apache Longbow;Apache;Helicopter;M;10.433;14.63;Light;40;2900
H66;Boeing;RAH-66 Comanche;Comanche;Helicopter;M;7.896;11.9;Light;40;900
HAR;British Aerospace;AV-8 Harrier;Harrier;Landplane;M;11.793;8.3;Light;140;14500
HAWK;British Aerospace;T-45, Goshawk;T-45;Landplane;M;5.1;9.4;Light;125;9300
HDJT;Honda;HA-420, HondaJet;HondaJet;Landplane;L;4.519;12.15;Light;112;3500
IL18;Ilyushin;Il-18/20/22/24;Il-18;Landplane;M;64;37.4;Upper Medium;130;1000
IL62;Ilyushin;Il-62;Il-62;Landplane;H;165;43.2;Lower Heavy;145;1000
IL76;Ilyushin;Candid;Candid;Landplane;H;170;50.5;Lower Heavy;120;1000
IL86;Ilyushin;Il-86/87;Il-86;Landplane;H;215;48.1;Lower Heavy;150;2000
IL96;Ilyushin;Il-96;Il-96;Landplane;H;250;60.11;Upper Heavy;150;2000
J328;Fairchild-Dornier;328Jet;328-Jet;Landplane;M;15.66;20.98;Lower Medium;115;2500
JAGR;SEPECAT;British Aerospace Jaguar;Jaguar;Landplane;M;15.7;8.7;Lower Medium;148;20000
JS1;Handley Page;Jetstream 1;Jetstream-1;Landplane;L;5.67;15.85;Light;100;2100
JS20;Scottish Aviation;Jetstream 2;Jetstream-2;Landplane;M;5.7;15.85;Light;105;2500
JS3;Handley Page;Jetstream 3;Jetstream-3;Landplane;M;5.7;15.85;Light;112;1500
JS31;Bae Systems;Jetstream 31;Jetstream-31;Landplane;M;6.95;15.85;Light;115;2000
JS32;Bae Systems;Jetstream 32;Jetstream-32;Landplane;M;7.36;15.85;Light;115;2000
JS41;Bae Systems;Jetstream 41;Jetstream-41;Landplane;M;10.886;18.42;Light;120;2200
K35E;Boeing;KC-135, Stratotanker;Stratotanker;Landplane;H;134.72;39.9;Lower Heavy;135;1300
K35R;Boeing;KC-135, Stratotanker;Stratotanker;Landplane;H;146.285;39.9;Lower Heavy;135;2500
KA50;Kamov;KA-50, Black Shark;Black Shark;Helicopter;M;10.8;14.5;Light;60;2000
KA52;Kamov;KA-52, Alligator;Alligator;Helicopter;M;10.8;14.5;Light;40;1900
L101;Lockheed;L-1011 TriStart;TriStar;Landplane;H;195.04;47.4;Lower Heavy;140;2000
L159;Aero;L-159;L-159;Landplane;M;8;9.5;Light;130;10000
L188;Lockheed;Electra;Electra;Landplane;M;51.25;30.2;Lower Medium;130;1500
L29B;Lockheed;JetStart 2/731;Jetstart;Landplane;M;20.227;16.6;Lower Medium;140;3500
L39;Aero VodoChody;L-39/139 Albatros;Aero Albatros;Landplane;L;5.7;9.5;Light;135;4300
L410;Let AS;Ayres L-410/420 Turbolet;Turbolet;Landplane;L;6.4;20;Light;85;6400
L610;Let AS;Ayres 700;Ayres-700;Landplane;M;14.5;25.6;Light;100;1000
LJ25;Lear Jet;LearJet 25;LearJet-25;Landplane;L;6.8;10.8;Light;125;4000
LJ31;Lear Jet;LearJet 31;LearJet-31;Landplane;L;7.03;13.3;Light;120;4000
LJ35;Lear Jet;LearJet 35/36;LearJet-35;Landplane;M;8.3;12;Light;125;4000
LJ40;Bombardier;LearJet 40;LearJet-40;Landplane;M;9.545;14.56;Light;115;2900
LJ45;Lear Jet;LearJet 45;LearJet-45;Landplane;M;9.23;14.6;Light;140;4000
LJ55;Lear Jet;LearJet 55;LearJet-55;Landplane;M;9.53;13.3;Light;140;4000
LJ60;Lear Jet;LearJet 60;LearJet-60;Landplane;M;10.659;13.4;Light;140;4000
M18;PZL-MIELEC;Dromader;Dromader;Landplane;L;4.7;17.7;Light;80;1000
M20P;Mooney;Mooney;Mooney;Landplane;L;1.17;11.1;Light;60;1240
M20T;Mooney;Bravo (M-20K);Mooney Bravo;Landplane;L;1.526;11;Light;70;1100
M339;Aermacchi;MB-339;MB-339;Landplane;L;6.35;11.2;Light;105;6600
M600;Piper;PA-46-600TP M600;Piper M600;Landplane;L;2.722;13.1;Light;85;2000
MD11;McDonnell Douglas;MD-11;MD-11;Landplane;H;285.99;51.7;Lower Heavy;159;2000
MD81;McDonnell Douglas;MD-81;MD-81;Landplane;M;63.503;32.82;Upper Medium;125;3000
MD82;McDonnell Douglas;MD-32;MD-32;Landplane;M;67.812;32.8;Upper Medium;136;2500
MD83;McDonnell Douglas;MD-83;MD-83;Landplane;M;73.028;32.8;Upper Medium;137;2500
